Model,Precision (Train),Recall (Train),F1-Score (Train),Accuracy (Train),Precision (Validation),Recall (Validation),F1-Score (Validation),Accuracy (Validation)
AdaBoost,0.7613851987922268,0.7478580171358629,0.744656519220007,0.7478580171358629,,,,
AdaBoost,,,,,0.7672119574131255,0.7527472527472527,0.7483886306001691,0.7527472527472527
